BKG PROBABILITY; BKG ERROR; SIGNAL PROBABILITY; SIGNAL ERROR
0.699088;0.00135036;0.300913;0.00124154
0.699073;0.00134571;0.300927;0.00123727
0.698937;0.00140991;0.301031;0.00127308
0.698892;0.00139528;0.301076;0.00126297
0.698805;0.00133171;0.301195;0.00122451
0.698746;0.00137763;0.301221;0.00124962
0.698823;0.00137304;0.301145;0.00124536
0.698818;0.00131838;0.301183;0.00121224
0.698879;0.00136352;0.301089;0.00123717
0.698943;0.0013097;0.301058;0.00120419
0.698927;0.00135455;0.301041;0.00122875
0.698792;0.00130116;0.301209;0.00119642
0.698935;0.00135457;0.301033;0.00122611
0.698955;0.0013804;0.301012;0.00123972
0.69897;0.00128884;0.301031;0.00118501
0.69915;0.00137049;0.300818;0.00123091
0.699171;0.00132925;0.300797;0.00120543
0.699337;0.00127696;0.300664;0.00117394
0.699378;0.00135867;0.300589;0.00121986
0.699371;0.00133022;0.300597;0.00120223
0.699429;0.00131342;0.300539;0.00119083
0.6995;0.0013176;0.300467;0.00119228
0.699473;0.00131374;0.300494;0.00118878
0.69946;0.00130507;0.300508;0.00118246
0.699333;0.00125009;0.300668;0.00114926
0.699418;0.00130374;0.30055;0.00117915
0.699397;0.00124271;0.300604;0.00114244
0.699273;0.00132173;0.300695;0.00118719
0.699227;0.00128396;0.300741;0.00116379
0.699233;0.00129734;0.300735;0.00117056
0.699252;0.0012758;0.300716;0.0011569
0.699142;0.00130667;0.300826;0.00117373
0.699286;0.00124833;0.300715;0.00114756
0.699194;0.00121773;0.300807;0.00111956
0.699252;0.00126831;0.300716;0.00114792
0.699287;0.00121099;0.300713;0.00111334
0.699349;0.00126612;0.300619;0.00114425
0.69941;0.00123109;0.300591;0.00113167
0.699329;0.00125016;0.300639;0.00113283
0.699458;0.0012792;0.300509;0.00114864
0.699456;0.00122098;0.300545;0.00112235
0.69949;0.00124429;0.300477;0.00112601
0.699488;0.00126827;0.300479;0.00113889
0.699579;0.00121125;0.300421;0.00111337
0.699526;0.00118165;0.300475;0.00108627
0.699635;0.0012047;0.300366;0.00110729
0.699687;0.00121947;0.30028;0.00110609
0.699747;0.00123354;0.30022;0.00111323
0.699745;0.00122149;0.300222;0.00110518
0.699659;0.00121075;0.300308;0.00109803
0.699593;0.00116322;0.300408;0.00106931
0.699527;0.00123723;0.30044;0.00111134
0.699531;0.00120004;0.300436;0.00108831
0.699535;0.00120595;0.300433;0.00109127
0.699633;0.00120296;0.300334;0.00108851
0.699627;0.00114851;0.300373;0.00105578
0.699675;0.00114564;0.300326;0.00105312
0.699594;0.00119367;0.300373;0.00108013
0.699603;0.00119076;0.300364;0.00107747
0.699569;0.00119301;0.300399;0.0010778
0.699452;0.00119305;0.300515;0.001077
0.699462;0.00118183;0.300506;0.00106951
0.699513;0.00118745;0.300455;0.00107187
0.699536;0.00115103;0.300465;0.00105801
0.699676;0.00116525;0.300292;0.00105654
0.699593;0.00116489;0.300374;0.00105571
0.699488;0.00111776;0.300512;0.00102755
0.699496;0.00115735;0.300472;0.00104978
0.699529;0.00116217;0.300438;0.00105168
0.699438;0.00110982;0.300563;0.00102027
0.699425;0.00115657;0.300543;0.00104666
0.699408;0.00117823;0.30056;0.00105841
0.699335;0.00112663;0.300666;0.00103566
0.699219;0.00109941;0.300781;0.00101078
0.699157;0.00115335;0.300811;0.00104146
0.699248;0.00109436;0.300753;0.00100611
0.69923;0.00114822;0.300738;0.00103677
0.699091;0.00108933;0.30091;0.00100156
0.699095;0.00111118;0.300905;0.00102154
0.699149;0.00114044;0.300819;0.00102987
0.699173;0.00108205;0.300827;0.000994839
0.699038;0.00112769;0.30093;0.00102086
0.699052;0.00110132;0.300949;0.0010125
0.69897;0.00107479;0.30103;0.000988244
0.699026;0.00111368;0.300943;0.00101025
0.698884;0.00111108;0.301085;0.00100787
0.698895;0.00112245;0.301073;0.00101384
0.698847;0.0010654;0.301153;0.000979663
0.698769;0.00110425;0.3012;0.00100162
0.69874;0.0010608;0.301261;0.000975483
0.698676;0.00109974;0.301293;0.000997545
0.698705;0.00111064;0.301264;0.00100333
0.698771;0.00107775;0.30123;0.00099097
0.698693;0.00105181;0.301308;0.000967239
0.698729;0.0010496;0.301272;0.000965196
0.698687;0.00104738;0.301314;0.000963165
0.698619;0.00108599;0.30135;0.000985091
0.698567;0.00109591;0.301402;0.000990325
0.698435;0.0010641;0.301565;0.000978544
0.69854;0.00103863;0.301461;0.000955177
0.698563;0.00110306;0.301406;0.000992308
0.698546;0.00103438;0.301455;0.000951261
0.698503;0.00105541;0.301498;0.000970525
0.698558;0.00109704;0.301411;0.000986789
0.698577;0.00102808;0.301424;0.000945452
0.698596;0.00106717;0.301373;0.000967726
0.698661;0.00107642;0.301307;0.000972549
0.698642;0.0010449;0.301359;0.000960802
0.698711;0.00104286;0.301289;0.000958903
0.698816;0.00106602;0.301153;0.000964351
0.698864;0.00106796;0.301105;0.000964796
0.698836;0.00105307;0.301133;0.000955331
0.698758;0.0010119;0.301243;0.000930507
0.698879;0.00106195;0.30109;0.000959311
0.69883;0.00103073;0.301171;0.000947716
0.698704;0.00107029;0.301265;0.000962821
0.698646;0.00106915;0.301322;0.000961728
0.698583;0.00100211;0.301418;0.000921574
0.698623;0.00105125;0.301346;0.000949915
0.698614;0.000998262;0.301387;0.000918022
0.698656;0.000996372;0.301344;0.000916269
0.698597;0.00101686;0.301403;0.000935041
0.698617;0.000992571;0.301383;0.000912783
0.698596;0.00101304;0.301405;0.000931527
0.698543;0.00101111;0.301457;0.000929767
0.698512;0.00102434;0.301458;0.000929396
0.698546;0.00103547;0.301423;0.000935677
0.698647;0.00100545;0.301354;0.000924506
0.698662;0.00103173;0.301307;0.000932199
0.698648;0.00100174;0.301353;0.000921093
0.698736;0.00101532;0.301233;0.000921311
0.69877;0.000998104;0.30123;0.000917705
0.698761;0.000974306;0.30124;0.000895916
0.698739;0.000972508;0.301262;0.000894265
0.698833;0.000992704;0.301168;0.000912715
0.698792;0.00100633;0.301177;0.000913032
0.698744;0.000989072;0.301256;0.000909399
0.698801;0.000965518;0.3012;0.000887809
0.698741;0.000963795;0.30126;0.000886247
0.698786;0.000962084;0.301215;0.000884656
0.698727;0.000960351;0.301274;0.000883081
0.698795;0.000997743;0.301174;0.000904588
0.698731;0.000957021;0.301269;0.000880025
0.698745;0.000976915;0.301256;0.000898221
0.698747;0.000953647;0.301253;0.000876909
0.698808;0.000973542;0.301192;0.000895096
0.698786;0.00101176;0.301183;0.000910141
0.698743;0.000970107;0.301257;0.000891951
0.698744;0.000946998;0.301257;0.000870782
0.698723;0.000966753;0.301277;0.00088887
0.698629;0.000943693;0.301371;0.000867777
0.698738;0.000979189;0.301231;0.000888125
0.698689;0.000940527;0.301311;0.000864848
0.698693;0.000938927;0.301307;0.000863375
0.698693;0.000937349;0.301308;0.000861923
0.698746;0.000995559;0.301223;0.000895726
0.698676;0.000934127;0.301324;0.000858952
0.698757;0.000968733;0.301213;0.000878847
0.698712;0.000952127;0.301288;0.000875411
0.698705;0.000929494;0.301296;0.000854684
0.698769;0.00097511;0.3012;0.000881107
0.698719;0.000985843;0.30125;0.000886776
0.698785;0.000945874;0.301216;0.000869632
0.698802;0.000958975;0.301167;0.000870085
0.698788;0.000968712;0.301181;0.000875319
0.698769;0.000941213;0.301231;0.000865343
0.698823;0.000918899;0.301178;0.000844894
0.698829;0.000952917;0.301141;0.000864446
0.698812;0.000915981;0.301188;0.000842223
0.698778;0.000961509;0.301192;0.000868641
0.698774;0.0009933;0.301195;0.000886885
0.698873;0.00094785;0.301096;0.000859514
0.698826;0.000930816;0.301175;0.00085578
0.698868;0.000908767;0.301133;0.00083558
0.698894;0.000927957;0.301106;0.000853138
0.698906;0.000905958;0.301095;0.000832993
0.698882;0.000941395;0.301087;0.000853258
0.698821;0.000903121;0.301179;0.000830416
0.698797;0.000922175;0.301203;0.000847861
0.698779;0.000935695;0.301191;0.000848684
0.6988;0.000944954;0.30117;0.000853769
0.698756;0.00089747;0.301244;0.000825234
0.698804;0.000916438;0.301197;0.000842574
0.698873;0.000915062;0.301128;0.000841288
0.698833;0.000893346;0.301167;0.000821414
0.698838;0.000928458;0.301131;0.000841619
0.69881;0.000890586;0.301191;0.000818877
0.698732;0.000909412;0.301269;0.00083613
0.698747;0.000933227;0.301223;0.000843224
0.698784;0.000906705;0.301216;0.000833627
0.698843;0.000942394;0.301126;0.000847593
0.698806;0.000918128;0.301163;0.000832844
0.698733;0.000882537;0.301268;0.000811498
0.698774;0.000881241;0.301227;0.000810295
0.698793;0.00087995;0.301207;0.000809104
0.698757;0.000912694;0.301213;0.000828003
0.698779;0.00091208;0.30119;0.000827158
0.698752;0.000895899;0.301248;0.000823687
0.698751;0.000874676;0.30125;0.000804252
0.698904;0.000873435;0.301097;0.000803061
0.698898;0.000872167;0.301103;0.000801899
0.698932;0.000870906;0.301069;0.000800728
0.698916;0.000914218;0.301053;0.000825934
0.69898;0.000903706;0.30099;0.00081912
0.699049;0.000886926;0.300952;0.000815343
0.698991;0.000885624;0.30101;0.000814163
0.698967;0.00092049;0.301003;0.000827942
0.699044;0.000863438;0.300957;0.000793828
0.699024;0.000895613;0.300945;0.000812384
0.699035;0.00088058;0.300966;0.000809509
0.699056;0.000859748;0.300945;0.000790429
0.699102;0.00087811;0.300899;0.000807216
0.699025;0.000857309;0.300975;0.000788195
0.69906;0.000856106;0.300941;0.000787077
0.699055;0.000854897;0.300946;0.000785965
0.698974;0.000853651;0.301027;0.000784839
0.69901;0.000896433;0.300959;0.000809742
0.698955;0.000894998;0.301014;0.000808518
0.69895;0.000850076;0.301051;0.000781557
0.698924;0.000848892;0.301077;0.000780476
0.698931;0.000901699;0.301038;0.000811334
0.698967;0.000846571;0.301034;0.00077833
0.698999;0.000864686;0.301001;0.000794894
0.699011;0.000863519;0.30099;0.000793819
0.698975;0.00086233;0.301026;0.000792738
0.698973;0.000874599;0.300997;0.000793269
0.69897;0.000894534;0.300999;0.000804785
0.698956;0.000839677;0.301044;0.000771996
0.698983;0.000857698;0.301018;0.000788481
0.698997;0.000856535;0.301004;0.000787404
0.698998;0.000836276;0.301003;0.000768852
0.699024;0.000854234;0.300977;0.000785277
0.69906;0.000878178;0.300909;0.000792869
0.699092;0.000852003;0.300908;0.000783209
0.699086;0.000850877;0.300914;0.000782177
0.699101;0.000884278;0.300868;0.000795316
0.699061;0.000848591;0.30094;0.000780077
0.699016;0.000828532;0.300985;0.000761724
0.699;0.000846327;0.301;0.000778011
0.699003;0.000845212;0.300998;0.000776984
0.699036;0.000857676;0.300933;0.000777844
0.699089;0.000843042;0.300911;0.000774964
0.69902;0.00085541;0.300949;0.000775796
0.699044;0.000822062;0.300957;0.000755767
0.699102;0.000874682;0.300867;0.00078657
0.69913;0.000862259;0.300839;0.000778855
0.699148;0.000850935;0.300821;0.000771771
0.69917;0.000817879;0.30083;0.000751886
0.699129;0.000816828;0.300872;0.000750933
0.699166;0.000815796;0.300835;0.000749974
0.69918;0.000847203;0.300789;0.00076815
0.699189;0.000813729;0.300812;0.000748067
0.699191;0.000844441;0.300778;0.000765925
0.699194;0.000843587;0.300775;0.000764971
0.699118;0.00081063;0.300883;0.00074524
0.699133;0.000841291;0.300836;0.000763
0.699079;0.000840228;0.30089;0.000761973
0.699018;0.000859452;0.300951;0.000773093
0.69907;0.000838079;0.300899;0.000760178
0.699056;0.000805534;0.300944;0.000740569
0.699008;0.000822941;0.300993;0.000756512
0.699105;0.000834988;0.300864;0.000757236
0.699093;0.000820946;0.300908;0.000754655
0.699097;0.00080157;0.300904;0.000736914
0.699166;0.000818947;0.300835;0.000752795
0.699184;0.000817964;0.300817;0.000751889
0.699171;0.000798653;0.30083;0.000734213
0.699164;0.000829723;0.300805;0.000752276
0.699201;0.000796723;0.3008;0.000732432
0.699271;0.000795794;0.30073;0.000731561
0.699282;0.000794848;0.300719;0.000730692
0.69923;0.000793876;0.300771;0.000729814
0.699223;0.000811105;0.300778;0.000745581
0.699192;0.000810118;0.300809;0.000744682
0.699221;0.000791016;0.30078;0.000727188
0.699252;0.000808207;0.300749;0.000742911
0.699268;0.000840028;0.300701;0.000755598
0.699235;0.000788191;0.300766;0.000724587
0.699211;0.000787221;0.30079;0.000723698
0.699226;0.00078629;0.300774;0.000722838
0.699229;0.000803373;0.300772;0.000738466
0.699237;0.000802443;0.300764;0.000737612
0.699276;0.000783547;0.300725;0.000720306
0.699253;0.000782619;0.300747;0.00071946
0.699267;0.000781704;0.300734;0.000718614
0.699237;0.000798702;0.300764;0.000734175
0.699301;0.000779908;0.300699;0.000716958
0.699302;0.000778996;0.300699;0.000716118
0.699319;0.000778094;0.300682;0.000715284
0.699348;0.000777197;0.300652;0.000714451
0.699306;0.000776297;0.300695;0.000713637
0.699273;0.000825577;0.300696;0.000742502
0.699274;0.000823761;0.300695;0.000741127
0.699263;0.000804;0.300706;0.000729134
0.69925;0.000790454;0.300751;0.000726592
0.699234;0.000802455;0.300735;0.000727639
0.699193;0.00078863;0.300807;0.00072493
0.699233;0.000800482;0.300736;0.000725864
0.699277;0.000769174;0.300724;0.000707091
0.699328;0.000768335;0.300673;0.000706308
0.69934;0.000785114;0.300661;0.000721658
0.699366;0.000766608;0.300634;0.000704709
0.699358;0.000815141;0.300611;0.000733109
0.699357;0.000782452;0.300644;0.000719201
0.69943;0.000794211;0.300539;0.000720269
0.699439;0.000780722;0.300562;0.000717588
0.699472;0.000779871;0.300529;0.000716798
0.699536;0.000761507;0.300464;0.000699973
0.699525;0.000778158;0.300475;0.000715208
0.699555;0.000777304;0.300445;0.000714415
0.699627;0.000788876;0.300343;0.000715243
0.699571;0.000787926;0.300398;0.000714424
0.699594;0.000757321;0.300406;0.000696109
0.699571;0.00075649;0.300429;0.000695352
0.699605;0.000786436;0.300364;0.000712713
0.699567;0.000772201;0.300434;0.000709721
0.699541;0.000753989;0.30046;0.000693058
0.699505;0.000801683;0.300464;0.000720994
0.699528;0.000800929;0.300441;0.000720146
0.699545;0.000781814;0.300424;0.000708626
0.699487;0.000750703;0.300514;0.000690051
0.699466;0.000749886;0.300535;0.000689306
0.699478;0.000749073;0.300523;0.000688554
0.699459;0.000748258;0.300542;0.000687809
0.699417;0.000747433;0.300583;0.000687059
0.699469;0.000794951;0.3005;0.00071485
0.699483;0.000745863;0.300518;0.0006856
0.699468;0.000773985;0.300501;0.000701783
0.699451;0.000744271;0.300549;0.000684146
0.699484;0.000760618;0.300517;0.000699092
0.699459;0.00074269;0.300542;0.000682689
0.699418;0.000758996;0.300582;0.000697619
0.699379;0.000758182;0.300622;0.000696881
0.699395;0.000740328;0.300606;0.000680536
0.699363;0.000756581;0.300637;0.000695413
0.699459;0.000768404;0.30051;0.000696575
0.69942;0.000738021;0.30058;0.00067841
0.699414;0.000737244;0.300586;0.000677697
0.699484;0.000784323;0.300485;0.00070535
0.699489;0.000735742;0.300512;0.000676298
0.699505;0.00073499;0.300496;0.000675604
0.699562;0.000751187;0.300439;0.000690408
0.699646;0.00077527;0.300323;0.000698948
0.699609;0.000762984;0.30036;0.000691232
0.699548;0.000731965;0.300453;0.000672811
0.699518;0.000731207;0.300483;0.000672122
0.699522;0.000747317;0.300479;0.00068686
0.69952;0.000759246;0.300449;0.000688176
0.699467;0.000745763;0.300534;0.000685444
0.699417;0.000744996;0.300584;0.000684753
0.699402;0.000756374;0.300567;0.000685748
0.699386;0.000726707;0.300614;0.000668019
0.699399;0.00074274;0.300602;0.000682686
0.69941;0.000741999;0.30059;0.000682003
0.699436;0.000724538;0.300565;0.000666016
0.699451;0.000740543;0.30055;0.000680657
0.699446;0.000723114;0.300554;0.000664709
